unidade;ano;mes;media_permanencia
HCM;2025;8;159,22222222222223
HCM;2025;9;66,0
HCM;2025;10;109,25
HCM;2025;11;48,03703703703704
HCM;2025;12;73,0
HEM;2022;1;11,91219512195122
HEM;2022;2;14,086330935251798
HEM;2022;3;14,882352941176471
HEM;2022;4;13,801652892561984
HEM;2022;5;13,86986301369863
HEM;2022;6;11,488505747126437
HEM;2022;7;11,835365853658537
HEM;2022;8;14,859060402684564
HEM;2022;9;12,49468085106383
HEM;2022;10;15,32716049382716
HEM;2022;11;13,795454545454545
HEM;2022;12;11,435
HEM;2023;1;13,40251572327044
HEM;2023;2;13,209150326797385
HEM;2023;3;15,098765432098766
HEM;2023;4;15,873333333333333
HEM;2023;5;16,404109589041095
HEM;2023;6;13,074074074074074
HEM;2023;7;17,492424242424242
HEM;2023;8;12,502793296089385
HEM;2023;9;16,470149253731343
HEM;2023;10;15,6
HEM;2023;11;14,587786259541986
HEM;2023;12;15,266187050359711
HEM;2024;1;9,891566265060241
HEM;2024;2;7,300531914893617
HEM;2024;3;7,042553191489362
HEM;2024;4;7,289124668435013
HEM;2024;5;9,66796875
HEM;2024;6;14,00609756097561
HEM;2024;7;14,50943396226415
HEM;2024;8;16,605839416058394
HEM;2024;9;12,955128205128204
HEM;2024;10;14,793103448275861
HEM;2024;11;13,18918918918919
HEM;2024;12;13,125
HEM;2025;1;14,846153846153847
HEM;2025;2;13,902255639097744
HEM;2025;3;14,284810126582279
HEM;2025;4;12,819767441860465
HEM;2025;5;13,00561797752809
HEM;2025;6;13,641176470588235
HEM;2025;7;12,86413043478261
HEM;2025;8;14,787878787878787
HEM;2025;9;12,206521739130435
HEM;2025;10;11,25257731958763
HEM;2025;11;13,777777777777779
HEM;2025;12;11,629411764705882
HIJPII;2022;1;7,849537037037037
HIJPII;2022;2;7,427440633245382
HIJPII;2022;3;6,961315280464216
HIJPII;2022;4;7,044150110375276
HIJPII;2022;5;7,404347826086957
HIJPII;2022;6;8,02919708029197
HIJPII;2022;7;8,620689655172415
HIJPII;2022;8;7,156010230179028
HIJPII;2022;9;6,466334164588528
HIJPII;2022;10;6,860050890585241
HIJPII;2022;11;6,246153846153846
HIJPII;2022;12;7,36870026525199
HIJPII;2023;1;8,287878787878787
HIJPII;2023;2;6,4112359550561795
HIJPII;2023;3;6,9
HIJPII;2023;4;6,8989473684210525
HIJPII;2023;5;7,180698151950718
HIJPII;2023;6;8,25
HIJPII;2023;7;7,893569844789357
HIJPII;2023;8;8,491978609625669
HIJPII;2023;9;7,5725
HIJPII;2023;10;7,799435028248587
HIJPII;2023;11;8,008902077151335
HIJPII;2023;12;7,4733727810650885
HIJPII;2024;1;7,968051118210862
HIJPII;2024;2;6,602905569007264
HIJPII;2024;3;6,122112211221122
HIJPII;2024;4;6,147783251231527
HIJPII;2024;5;6,753012048192771
HIJPII;2024;6;7,3725
HIJPII;2024;7;7,32904884318766
HIJPII;2024;8;7,86
HIJPII;2024;9;7,407594936708861
HIJPII;2024;10;7,124675324675325
HIJPII;2024;11;7,124293785310734
HIJPII;2024;12;6,709677419354839
HIJPII;2025;1;7,47093023255814
HIJPII;2025;2;6,459537572254336
HIJPII;2025;3;6,648888888888889
HIJPII;2025;4;6,434137291280148
HIJPII;2025;5;6,72887323943662
HIJPII;2025;6;6,286282306163022
HIJPII;2025;7;6,827676240208877
HIJPII;2025;8;7,93730407523511
HIJPII;2025;9;7,664451827242525
HIJPII;2025;10;7,5
HIJPII;2025;11;7,232758620689655
HIJPII;2025;12;6,683646112600536
HJK;2022;1;9,040133779264215
HJK;2022;2;9,119246861924687
HJK;2022;3;7,859180035650624
HJK;2022;4;7,612903225806452
HJK;2022;5;8,169747899159663
HJK;2022;6;8,612676056338028
HJK;2022;7;9,238675958188153
HJK;2022;8;8,493212669683258
HJK;2022;9;8,063739376770538
HJK;2022;10;8,431009957325747
HJK;2022;11;8,935794542536115
HJK;2022;12;7,632947976878612
HJK;2023;1;8,004615384615384
HJK;2023;2;8,275449101796408
HJK;2023;3;8,35632183908046
HJK;2023;4;8,893646408839778
HJK;2023;5;7,978494623655914
HJK;2023;6;8,0242656449553
HJK;2023;7;8,19952210274791
HJK;2023;8;7,68530701754386
HJK;2023;9;8,618311533888228
HJK;2023;10;8,081168831168831
HJK;2023;11;7,757409440175631
HJK;2023;12;7,498381877022654
HJK;2024;1;7,447368421052632
HJK;2024;2;7,334313725490196
HJK;2024;3;7,280296784830997
HJK;2024;4;7,774193548387097
HJK;2024;5;7,143474503025065
HJK;2024;6;7,3352272727272725
HJK;2024;7;7,66412213740458
